"InphaseC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_002.tcf]","Time (h)","V 2 [InphaseC4_002]","V 3 [InphaseC4_002]","V 4 [InphaseC4_002]","V 5 [InphaseC4_002]","V 6 [InphaseC4_002]","V 7 [InphaseC4_002]","V 8 [InphaseC4_002]","V 9 [InphaseC4_002]","V 10 [InphaseC4_002]","V 11 [InphaseC4_002]","V 12 [InphaseC4_002]","V 13 [InphaseC4_002]","V 14 [InphaseC4_002]","V 15 [InphaseC4_002]","V 16 [InphaseC4_002]","V  1 [InphaseC4_002]"
          97,        0.800000,          0.9428,          0.2500,          0.7846,          1.8108,          0.9585,          0.1802,          0.6581,          1.6103,          0.2393,          0.4218,          1.0128,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
          98,        0.808333,          0.9427,          0.2501,          0.7848,          1.8108,          0.9585,          0.1802,          0.6581,          1.6103,          0.2394,          0.4218,          1.0127,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
          99,        0.816667,          0.9427,          0.2501,          0.7847,          1.8108,          0.9585,          0.1801,          0.6580,          1.6103,          0.2393,          0.4219,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         100,        0.825000,          0.9427,          0.2501,          0.7846,          1.8108,          0.9584,          0.1802,          0.6580,          1.6103,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         101,        0.833333,          0.9428,          0.2501,          0.7846,          1.8108,          0.9585,          0.1802,          0.6581,          1.6103,          0.2393,          0.4219,          1.0127,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
         102,        0.841667,          0.9427,          0.2500,          0.7846,          1.8108,          0.9585,          0.1802,          0.6582,          1.6103,          0.2393,          0.4219,          1.0128,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         103,        0.850000,          0.9427,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         104,        0.858333,          0.9427,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2393,          0.4219,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         105,        0.866667,          0.9428,          0.2500,          0.7846,          1.8108,          0.9584,          0.1801,          0.6581,          1.6103,          0.2394,          0.4218,          1.0127,          1.7261,          1.2772,          0.7138,          0.6693,          1.3820
         106,        0.875000,          0.9428,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2393,          0.4218,          1.0127,          1.7260,          1.2773,          0.7137,          0.6693,          1.3820
         107,        0.883333,          0.9427,          0.2500,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2394,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6694,          1.3820
         108,        0.891667,          0.9427,          0.2500,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2394,          0.4219,          1.0127,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
         109,        0.900000,          0.9428,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6103,          0.2393,          0.4218,          1.0126,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         110,        0.908333,          0.9427,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6580,          1.6102,          0.2394,          0.4219,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         111,        0.916667,          0.9427,          0.2501,          0.7847,          1.8108,          0.9584,          0.1802,          0.6580,          1.6103,          0.2394,          0.4219,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
         112,        0.925000,          0.9427,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6103,          0.2394,          0.4218,          1.0128,          1.7260,          1.2773,          0.7138,          0.6693,          1.3820
         113,        0.933333,          0.9427,          0.2501,          0.7846,          1.8108,          0.9584,          0.1801,          0.6581,          1.6103,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6692,          1.3820
         114,        0.941667,          0.9427,          0.2500,          0.7847,          1.8108,          0.9585,          0.1801,          0.6581,          1.6103,          0.2393,          0.4218,          1.0127,          1.7261,          1.2772,          0.7138,          0.6693,          1.3820
         115,        0.950000,          0.9427,          0.2500,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2393,          0.4218,          1.0127,          1.7261,          1.2772,          0.7138,          0.6694,          1.3820
