iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
296,54.0337,0.235484,0.229474,0.730759,0.911713,0.300049,92.7214
297,54.2632,0.235446,0.229474,0.730042,0.91156,0.300049,92.7415
298,54.4926,0.235407,0.229474,0.729324,0.911407,0.300034,92.7615
299,54.7221,0.235381,0.229474,0.728668,0.911316,0.300034,92.7814
300,54.9516,0.235355,0.229474,0.727997,0.911209,0.300049,92.8012
301,55.1811,0.235316,0.229474,0.727325,0.911057,0.300049,92.8209
302,55.4105,0.235278,0.229474,0.726456,0.910919,0.300034,92.8404
303,55.64,0.235252,0.229474,0.725739,0.910812,0.300049,92.8599
304,55.8695,0.235214,0.229474,0.725052,0.91066,0.300049,92.8793
305,56.0989,0.235175,0.229474,0.724411,0.910507,0.300034,92.8985
306,56.3284,0.235149,0.229474,0.723724,0.910416,0.300049,92.9177
307,56.5579,0.235111,0.229474,0.722961,0.910263,0.300049,92.9367
308,56.7874,0.235073,0.229474,0.722244,0.91011,0.300034,92.9557
309,57.0168,0.235046,0.229474,0.722427,0.910019,0.300049,92.9746
310,57.2463,0.235008,0.229474,0.721542,0.909866,0.300034,92.9933
311,57.4758,0.234982,0.229474,0.720276,0.90976,0.300049,93.012
312,57.7053,0.234943,0.229474,0.719437,0.909622,0.300049,93.0306
313,57.9347,0.234905,0.229474,0.719864,0.90947,0.300049,93.0491
314,58.1642,0.234867,0.229474,0.719391,0.909317,0.300034,93.0675
315,58.3937,0.234841,0.229474,0.718857,0.909225,0.300049,93.0859
316,58.6232,0.234803,0.229474,0.718369,0.909073,0.300049,93.1041
317,58.8526,0.234764,0.229474,0.717789,0.90892,0.300034,93.1222
318,59.0821,0.234738,0.229474,0.717209,0.908813,0.300049,93.1403
319,59.3116,0.2347,0.229474,0.716614,0.908676,0.300034,93.1583
320,59.5411,0.234674,0.229474,0.716095,0.908569,0.300049,93.1762
321,59.7705,0.234636,0.229474,0.715515,0.908417,0.300034,93.194
322,60,0.234609,0.229474,0.714981,0.908325,0.300049,93.2117
323,60.2344,0.234571,0.234375,0.714462,0.908173,0.300049,93.2378
324,60.4688,0.234533,0.234375,0.713882,0.90802,0.300049,93.2638
325,60.7031,0.234495,0.234375,0.713318,0.907883,0.300049,93.2897
326,60.9375,0.234457,0.234375,0.712753,0.90773,0.300049,93.3155
327,61.1719,0.234418,0.234375,0.712158,0.907578,0.300034,93.341
328,61.4063,0.234392,0.234375,0.711594,0.907486,0.300049,93.3665
329,61.6397,0.234354,0.233441,0.710907,0.907333,0.300034,93.3902
330,61.8731,0.234328,0.233441,0.710205,0.907227,0.300049,93.4137
331,62.1066,0.23429,0.233441,0.709396,0.907089,0.300064,93.4372
332,62.34,0.23424,0.233441,0.708588,0.906891,0.300049,93.4606
333,62.5735,0.234202,0.233441,0.707809,0.906738,0.300049,93.4838
334,62.8069,0.234164,0.233441,0.707001,0.906601,0.300064,93.507
335,63.0403,0.234114,0.233441,0.706223,0.906403,0.300049,93.53
336,63.2738,0.234076,0.233441,0.705429,0.90625,0.300049,93.5529
337,63.5072,0.234037,0.233441,0.704636,0.906113,0.300034,93.5757
338,63.7407,0.234011,0.233441,0.70401,0.906006,0.300049,93.5984
339,63.9741,0.233973,0.233441,0.703186,0.905853,0.300034,93.621
340,64.2075,0.233947,0.233441,0.702469,0.905762,0.300034,93.6435
341,64.441,0.233921,0.233441,0.701782,0.905655,0.300034,93.6658
342,64.6744,0.233895,0.233441,0.701004,0.905548,0.300049,93.688
343,64.9079,0.233857,0.233441,0.700348,0.905411,0.300034,93.7101
344,65.1413,0.23383,0.233441,0.699493,0.905304,0.300034,93.7321
345,65.3748,0.233804,0.233441,0.698944,0.905212,0.300034,93.754
346,65.6082,0.233778,0.233441,0.698074,0.905106,0.300034,93.7757
347,65.8416,0.233752,0.233441,0.697174,0.904999,0.300018,93.7973
348,66.0751,0.233738,0.233441,0.696259,0.904953,0.300034,93.8188
349,66.3085,0.233712,0.233441,0.695435,0.904846,0.300049,93.8402
350,66.542,0.233674,0.233441,0.694458,0.904694,0.300034,93.8615
351,66.7754,0.233648,0.233441,0.693497,0.904602,0.300034,93.8827
352,67.0088,0.233621,0.233441,0.692596,0.904495,0.300034,93.9038
353,67.2423,0.233595,0.233441,0.691803,0.904404,0.300034,93.9248
354,67.4757,0.233569,0.233441,0.691055,0.904297,0.300049,93.9457
355,67.7092,0.233531,0.233441,0.690536,0.904144,0.300049,93.9665
356,67.9426,0.233493,0.233441,0.689346,0.904007,0.300049,93.9872
357,68.176,0.233455,0.233441,0.688721,0.903854,0.300064,94.0078
358,68.4084,0.233405,0.232394,0.688095,0.903656,0.300049,94.0268
359,68.6408,0.233367,0.232394,0.687424,0.903519,0.300049,94.0456
360,68.8732,0.233329,0.232394,0.68663,0.903366,0.300049,94.0644
361,69.1056,0.233291,0.232394,0.685791,0.903214,0.300049,94.0831
362,69.338,0.233253,0.232394,0.685303,0.903076,0.300049,94.1018
363,69.5704,0.233216,0.232394,0.684799,0.902924,0.300034,94.1204
364,69.8028,0.233189,0.232394,0.684341,0.902832,0.300034,94.1388
365,70.0352,0.233163,0.232394,0.683807,0.902725,0.300049,94.1572
366,70.2676,0.233125,0.232394,0.683029,0.902573,0.300034,94.1756
367,70.5,0.233099,0.232394,0.682205,0.902481,0.300034,94.1938
368,70.7324,0.233073,0.232394,0.681763,0.902374,0.300034,94.212
369,70.9648,0.233047,0.232394,0.681152,0.902267,0.300018,94.23
